# sample_idx	fwd_accel_mG
# Type: power, 81 samples (25Hz, 3.24s)
# Peak: 435 mG, Catch: -760 mG
# Speed: 2.99 m/s, Split: 2:47/500m
# Source: 2026-03-27-09-00-34.fit, t=1191.6s
0	38
1	22
2	4
3	-50
4	0
5	93
6	52
7	-71
8	-51
9	14
10	-144
11	-102
12	-37
13	-6
14	-29
15	-32
16	3
17	-17
18	-58
19	-41
20	-13
21	44
22	-90
23	-35
24	-46
25	13
26	-47
27	35
28	-68
29	-17
30	-57
31	67
32	0
33	-31
34	25
35	15
36	35
37	81
38	13
39	-4
40	17
41	-17
42	-72
43	16
44	-27
45	-12
46	-127
47	-232
48	-419
49	-472
50	-371
51	-511
52	-639
53	-630
54	-614
55	-760
56	-682
57	-690
58	-458
59	-355
60	-197
61	317
62	301
63	354
64	430
65	435
66	359
67	320
68	232
69	237
70	198
71	311
72	373
73	367
74	322
75	370
76	352
77	337
78	251
79	111
80	51
