# sample_idx	fwd_accel_mG
# Type: steady, 76 samples (25Hz, 3.04s)
# Peak: 327 mG, Catch: -123 mG
# Speed: 3.15 m/s, Split: 2:38/500m
# Source: 2026-03-27-09-00-34.fit, t=746.0s
0	65
1	6
2	7
3	-4
4	10
5	65
6	-32
7	-3
8	20
9	1
10	-19
11	-16
12	53
13	-54
14	64
15	-14
16	0
17	-27
18	0
19	-10
20	40
21	-123
22	-78
23	-1
24	22
25	28
26	60
27	47
28	74
29	41
30	67
31	56
32	74
33	102
34	65
35	106
36	83
37	101
38	118
39	79
40	134
41	121
42	101
43	78
44	60
45	19
46	44
47	-45
48	48
49	-54
50	111
51	-4
52	58
53	35
54	121
55	101
56	67
57	124
58	185
59	182
60	89
61	135
62	166
63	141
64	226
65	229
66	264
67	324
68	327
69	325
70	271
71	263
72	262
73	241
74	225
75	20
