# sample_idx	fwd_accel_mG
# Type: strong, 77 samples (25Hz, 3.08s)
# Peak: 372 mG, Catch: -153 mG
# Speed: 3.18 m/s, Split: 2:37/500m
# Source: 2026-03-27-09-00-34.fit, t=5405.0s
0	-4
1	83
2	-38
3	-5
4	96
5	78
6	13
7	-27
8	-9
9	-37
10	-38
11	-15
12	-53
13	14
14	-88
15	-69
16	41
17	58
18	0
19	-30
20	-52
21	-18
22	-34
23	0
24	6
25	70
26	110
27	68
28	108
29	82
30	116
31	92
32	157
33	61
34	97
35	83
36	48
37	33
38	76
39	48
40	88
41	52
42	112
43	82
44	127
45	0
46	-10
47	-10
48	-57
49	-153
50	234
51	134
52	132
53	38
54	178
55	103
56	89
57	33
58	29
59	90
60	191
61	144
62	273
63	366
64	327
65	289
66	322
67	277
68	291
69	243
70	356
71	331
72	372
73	340
74	326
75	57
76	-81
