# sample_idx	fwd_accel_mG
# Type: light, 75 samples (25Hz, 3.00s)
# Peak: 309 mG, Catch: -391 mG
# Speed: 2.91 m/s, Split: 2:51/500m
# Source: 2026-03-27-09-00-34.fit, t=5816.0s
0	-150
1	5
2	81
3	-27
4	-21
5	-21
6	-15
7	-39
8	1
9	25
10	7
11	-4
12	-33
13	-26
14	-48
15	-38
16	-40
17	21
18	-31
19	-31
20	-23
21	-85
22	-34
23	17
24	21
25	-1
26	116
27	114
28	27
29	102
30	76
31	84
32	107
33	125
34	49
35	63
36	96
37	119
38	83
39	64
40	150
41	17
42	47
43	7
44	-13
45	-14
46	-91
47	-171
48	-246
49	-391
50	-5
51	-37
52	32
53	62
54	69
55	54
56	132
57	78
58	75
59	90
60	93
61	130
62	167
63	180
64	163
65	184
66	140
67	147
68	188
69	185
70	226
71	226
72	260
73	231
74	309
